"id","obsDay","currentMood","period","treatment"
18,90,10,"b",0
4,91,10,"t",1
45,91,9,"b",0
6,91,6,"t",1
33,91,7,"b",0
53,91,5,NA,NA
40,91,3,"b",0
44,92,1,"b",0
18,93,10,"b",0
19,93,10,"b",0
53,94,1,NA,NA
4,94,10,"t",1
45,94,9,"b",0
40,94,7,"b",0
6,94,9,"t",1
33,94,8,"b",0
44,95,1,"b",0
18,96,10,"b",0
19,96,9,"b",0
45,97,7,"b",0
4,97,10,"t",1
6,97,8,"t",1
40,97,3,"b",0
53,97,1,NA,NA
44,98,3,"b",0
18,99,10,"b",0
19,99,10,"b",0
40,100,9,"b",0
4,100,10,"t",1
53,100,1,NA,NA
6,100,8,"t",1
45,100,8,"b",0
59,101,8,"b",0
44,101,5,"b",0
63,101,8,NA,NA
64,101,9,NA,NA
60,101,7,NA,NA
19,102,10,"b",0
18,102,10,"b",0
33,98,7,"b",0
40,103,9,"b",0
4,103,10,"t",1
53,103,10,NA,NA
6,103,8,"t",1
45,103,6,"b",0
59,104,9,"b",0
64,104,9,NA,NA
44,104,5,"b",0
63,104,10,NA,NA
60,104,8,NA,NA
18,105,10,"b",0
19,105,10,"b",0
6,106,10,"t",1
4,106,10,"t",1
45,106,7,"t",1
33,106,8,"b",0
53,106,7,NA,NA
40,106,4,"b",0
60,107,9,NA,NA
63,107,10,NA,NA
44,107,5,"t",1
59,107,5,"b",0
64,107,9,NA,NA
18,108,10,"b",0
19,108,10,"b",0
4,109,10,"t",1
40,109,9,"b",0
6,109,2,"t",1
53,109,1,NA,NA
45,109,9,"t",1
59,110,3,"t",1
64,110,9,NA,NA
33,109,8,"b",0
63,110,7,NA,NA
44,110,5,"t",1
19,111,10,"b",0
18,111,9,"b",0
45,112,6,"t",1
4,112,10,"t",1
53,112,1,NA,NA
59,113,7,"t",1
63,113,10,NA,NA
44,113,5,"t",1
71,113,5,NA,NA
72,113,10,NA,NA
50,113,7,NA,NA
69,113,1,NA,NA
33,113,8,"b",0
19,114,10,"b",0
18,114,10,"b",0
4,115,10,"t",1
53,115,5,NA,NA
45,115,9,"t",1
71,116,7,NA,NA
63,116,8,NA,NA
69,116,10,NA,NA
59,116,6,"t",1
44,116,6,"t",1
33,116,6,"b",0
72,116,10,NA,NA
19,117,10,"t",1
18,117,10,"t",1
45,118,7,"t",1
53,118,1,NA,NA
4,118,10,"t",1
69,119,1,NA,NA
63,119,7,NA,NA
59,119,10,"t",1
33,119,9,"b",0
71,119,6,NA,NA
44,119,6,"t",1
19,120,10,"t",1
18,120,9,"t",1
72,120,10,NA,NA
4,121,10,"t",1
53,121,10,NA,NA
45,121,8,"t",1
63,122,6,NA,NA
33,122,9,"b",0
59,122,4,"t",1
71,122,4,NA,NA
69,122,10,NA,NA
18,123,8,"t",1
19,123,10,"t",1
72,123,10,NA,NA
53,124,7,NA,NA
45,124,6,"t",1
4,124,10,"t",1
33,125,8,"b",0
